OrderID,ProductID,UnitPrice,Quantity,Discount
10331,54,5.90,15,0
10332,18,50.00,40,0.2
10332,42,11.20,10,0.2
10332,47,7.60,16,0.2
10333,14,18.60,10,0
10333,21,8.00,10,0.1
10333,71,17.20,40,0.1
10334,52,5.60,8,0
10334,68,10.00,10,0
10335,2,15.20,7,0.2
10335,31,10.00,25,0.2
10335,32,25.60,6,0.2
10335,51,42.40,48,0.2
10336,4,17.60,18,0.1
10337,23,7.20,40,0
10337,26,24.90,24,0
10337,36,15.20,20,0
10337,37,20.80,28,0
10337,72,27.80,25,0
10338,17,31.20,20,0
10338,30,20.70,15,0
10339,4,17.60,10,0
10339,17,31.20,70,0.05
10339,62,39.40,28,0
10340,18,50.00,20,0.05
10340,41,7.70,12,0.05
10340,43,36.80,40,0.05
10341,33,2.00,8,0
10341,59,44.00,9,0.15
10342,2,15.20,24,0.2
10342,31,10.00,56,0.2
10342,36,15.20,40,0.2
10342,55,19.20,40,0.2
10343,64,26.60,50,0
10343,68,10.00,4,0.05
10343,76,14.40,15,0
10344,4,17.60,35,0
10344,8,32.00,70,0.25
10345,8,32.00,70,0
10345,19,7.30,80,0
10345,42,11.20,9,0
10346,17,31.20,36,0.1
10346,56,30.40,20,0
10347,25,11.20,10,0
10347,39,14.40,50,0.15
10347,40,14.70,4,0
10347,75,6.20,6,0.15
10348,1,14.40,15,0.15
10348,23,7.20,25,0
10349,54,5.90,24,0
10350,50,13.00,15,0.1
10350,69,28.80,18,0.1
10351,38,210.80,20,0.05
10351,41,7.70,13,0
10351,44,15.50,77,0.05
10351,65,16.80,10,0.05
10352,24,3.60,10,0
10352,54,5.90,20,0.15
10353,11,16.80,12,0.2
10353,38,210.80,50,0.2
10354,1,14.40,12,0
10354,29,99.00,4,0
10355,24,3.60,25,0
10355,57,15.60,25,0
10356,31,10.00,30,0
10356,55,19.20,12,0
10356,69,28.80,20,0
10357,10,24.80,30,0.2
10357,26,24.90,16,0
10357,60,27.20,8,0.2
10358,24,3.60,10,0.05
10358,34,11.20,10,0.05
10358,36,15.20,20,0.05
10359,16,13.90,56,0.05
10359,31,10.00,70,0.05
10359,60,27.20,80,0.05
10360,28,36.40,30,0
10360,29,99.00,35,0
10360,38,210.80,10,0
10360,49,16.00,35,0
10360,54,5.90,28,0
10361,39,14.40,54,0.1
10361,60,27.20,55,0.1
10362,25,11.20,50,0
10362,51,42.40,20,0
10362,54,5.90,24,0
10363,31,10.00,20,0
10363,75,6.20,12,0
10363,76,14.40,12,0
10364,69,28.80,30,0
10364,71,17.20,5,0
10365,11,16.80,24,0
10366,65,16.80,5,0
10366,77,10.40,5,0
10367,34,11.20,36,0
10367,54,5.90,18,0
10367,65,16.80,15,0
10367,77,10.40,7,0
10368,21,8.00,5,0.1
10368,28,36.40,13,0.1
10368,57,15.60,25,0
10368,64,26.60,35,0.1
10369,29,99.00,20,0
10369,56,30.40,18,0.25
10370,1,14.40,15,0.15
10370,64,26.60,30,0
10370,74,8.00,20,0.15
10371,36,15.20,6,0.2
10372,20,64.80,12,0.25
10372,38,210.80,40,0.25
10372,60,27.20,70,0.25
10372,72,27.80,42,0.25
10373,58,10.60,80,0.2
10373,71,17.20,50,0.2
10374,31,10.00,30,0
10374,58,10.60,15,0
10375,14,18.60,15,0
10375,54,5.90,10,0
10376,31,10.00,42,0.05
10377,28,36.40,20,0.15
10377,39,14.40,20,0.15
10378,71,17.20,6,0
10379,41,7.70,8,0.1
10379,63,35.10,16,0.1
10379,65,16.80,20,0.1
10380,30,20.70,18,0.1
10380,53,26.20,20,0.1
10380,60,27.20,6,0.1
10380,70,12.00,30,0
10381,74,8.00,14,0
